DID,Name,Designation,Specialities,Branch
PDC-1,PROF. DR. MD. FAYJUL ISLAM CHOWDHURY,"MBBS, FCPS (Medicine), PHD (USA)",Medicine,
PDC-2,PROF. DR. M. A. AZHAR,"MBBS, FCPS (Medicine), FACP, FRCP (Edin). Sir Salimullah Medical College & Mitford Hospital, Dhaka.",Medicine,Dhanmondi
PDC-3,PROF. DR. H A M NAZMUL AHASAN,"FCPS, FRCP (Glasg), FRCP (Edin), FRCP (London), MACP (USA), Master, American College of Physicians (MACP). Professor of Medicine, Popular Medical College, Dhaka. Formerly Professor & Head, Department of Medicine, Dhaka Medical College, Bangladesh.",Medicine,Dhanmondi
PDC-4,PROF. DR. ENAMUL KARIM,"MBBS, FCPS (Medicine), FACP (USA). WHO Fellow (Diabetics). Dhaka Medical College & Hospital.",Medicine,Dhanmondi
PDC-5,PROF. DR. Q.TARIKUL ISLAM,"FCPS (Medicine), FACP (USA), FRCP (Glasgow), FRCP (Edin), MACP (USA). Popular Medicile College & Hospital, Dhaka.",Medicine,Dhanmondi
PDC-6,PROF. DR. KHAN ABUL KALAM AZAD,"MBBS (DMC), FCPS (Medicine), MD (Internal Med.), FACP (USA). Dhaka Medical College & Hospital.",Medicine,Dhanmondi
PDC-7,PROF. DR. M. N. NAG,"MBBS (Dhaka), FCPS (Medicine). Rangpur Medical College & Hospital, Rangpur.",Medicine,Dhanmondi
PDC-8,PROF. DR. MD. TITU MIAH,"FCPS (Internal Medicine),j WHO Fellow in Rheumatology. Principal, Dhaka Medical College & Hospital.",Medicine,Dhanmondi
PDC-9,PROF. DR. MD. AZIZUL HAQUE,"MBBS (Dhaka),FCPS(Medicine ), MACP (USA). Medicine Specialist, Ex. Professor & Head, Department of Medicine . Comilla Medical College & Hospital.",Medicine,Dhanmondi
PDC-10,DR. HOMAYRA TAHSEEN HOSSAIN,"MBBS (DMC), FCPS (Medicine), MRCP (UK), Associate Professor, Department of Medicine, Popular Medical College & Hospital, Dhanmondi, Dhaka.",Medicine,Dhanmondi
