Specialities,Diseases
"Medicine",'Fungal infection|Allergy|GERD|Chronic cholestasis|Drug Reaction|Peptic ulcer disease|AIDS|Diabetes |Gastroenteritis|Bronchial Asthma|Hypertension |Migraine|Cervical spondylosis|Paralysis (brain hemorrhage)|Jaundice|Malaria|Chicken pox|Dengue|Typhoid|hepatitis A|Hepatitis B|Hepatitis C|Hepatitis D|Hepatitis E|Alcoholic hepatitis|Tuberculosis|Common Cold|Pneumonia|Dimorphic hemorrhoids(piles)|Heart attack|Varicose veins|Hypothyroidism|Hyperthyroidism|Hypoglycemia|Osteoarthritis|Arthritis|(vertigo) Paroxysmal Positional Vertigo|Acne|Urinary tract infection|Psoriasis|Impetigo'
"Cardiology, Medicine",'Heart attack|Hypertension '
"Medicine, Liver Medicine, Hepatology",'Chronic cholestasis|Hepatitis A|Hepatitis B|Hepatitis C|Hepatitis D|Hepatitis E|Alcoholic hepatitis'
"Medicine, Cardiology",'Heart attack|Hypertension'
"Medicine, Rheumatology Medicine",'Arthritis|Osteoarthritis'
"Medicine, Endocrine Medicine",'Diabetes |Hypothyroidism|Hyperthyroidism|Hypoglycemia'
"Neurology, Medicine",'Migraine|Paralysis (brain hemorrhage)|(vertigo) Paroxysmal Positional Vertigo'
"Medicine, Nephrology/Kidney Medicine",'Hypertension |Urinary tract infection'
"Medicine, Rheumatology Medicine, Diabetologist, Cardiology",'Arthritis|Osteoarthritis|Diabetes |Heart attack|Hypertension '
"Medicine, Diabetologist",'Diabetes |Hypoglycemia'
"Medicine, Haematology",'Common Cold'
"Diabetologist, Nephrology, Medicine",'Diabetes |Hypertension |Urinary tract infection'
"Gastroenterology, Medicine",'GERD|Chronic cholestasis|Peptic ulcer disease|Gastroenteritis'
"Endocrine Medicine, Medicine",'Hypothyroidism|Hyperthyroidism|Hypoglycemia'
"Medicine, Endocrinology, Thyroid",'Hypothyroidism|Hyperthyroidism'
"Medicine, Neurology",'Migraine|Paralysis (brain hemorrhage)|(vertigo) Paroxysmal Positional Vertigo'
"Gynaecology",'Gynaecology|Gynae Oncology|Urinary tract infection'
"Gynaecology",'Gynaecology|Gynae Oncology|Urinary tract infection'
"Gynae Oncology, Gynaecology",'Gynaecology|Gynae Oncology|Urinary tract infection'
Orthopaedic Surgery,'Cervical spondylosis|Paralysis (brain hemorrhage)|Osteoarthritis|Arthritis'
"Orthopaedic Surgery, Orthopedics",'Cervical spondylosis|Paralysis (brain hemorrhage)|Osteoarthritis|Arthritis'
"Orthopedics, Orthopaedic Surgery",'Cervical spondylosis|Paralysis (brain hemorrhage)|Osteoarthritis|Arthritis'
Neurology,'Migraine|Paralysis (brain hemorrhage)|(vertigo) Paroxysmal Positional Vertigo'
"Nuclear Medicine, Neurology",'Migraine|Paralysis (brain hemorrhage)|(vertigo) Paroxysmal Positional Vertigo'
"Child Neurology, Neurology",'Migraine|Paralysis (brain hemorrhage)|(vertigo) Paroxysmal Positional Vertigo'
"Neuro Surgery, Neurology",'Migraine|Paralysis (brain hemorrhage)|(vertigo) Paroxysmal Positional Vertigo'
"Neurology, Nuclear Medicine",'Migraine|Paralysis (brain hemorrhage)|(vertigo) Paroxysmal Positional Vertigo'
Cardiology,'Heart attack|Hypertension '
